Wavelength_nm,Energy_eV,Counts
474.727,2.61169,146
474.897,2.61076,142
475.067,2.60983,143
475.238,2.60889,140
475.408,2.60795,142
475.578,2.60702,154
475.749,2.60608,142
475.919,2.60515,141
476.09,2.60422,135
476.26,2.60329,135
476.43,2.60236,146
476.601,2.60143,131
476.771,2.6005,133
476.942,2.59957,139
477.112,2.59864,141
477.282,2.59771,128
477.453,2.59678,133
477.623,2.59586,138
477.793,2.59494,152
477.964,2.59401,142
478.134,2.59308,140
478.305,2.59216,138
478.475,2.59124,128
478.645,2.59032,129
478.816,2.58939,115
478.986,2.58847,135
479.156,2.58755,135
479.327,2.58663,131
479.497,2.58571,136
479.667,2.5848,138
479.838,2.58388,134
480.008,2.58296,135
480.179,2.58204,128
480.349,2.58113,137
480.519,2.58021,129
480.69,2.5793,122
480.86,2.57838,124
481.03,2.57747,135
481.201,2.57656,119
481.371,2.57565,123
481.541,2.57474,137
481.712,2.57382,129
481.882,2.57292,113
482.053,2.572,120
482.223,2.5711,116
482.393,2.57019,117
482.564,2.56928,112
482.734,2.56838,117
482.904,2.56747,143
483.075,2.56656,116
483.245,2.56566,127
483.415,2.56476,129
483.586,2.56385,118
483.756,2.56295,122
483.926,2.56205,121
484.097,2.56114,122
484.267,2.56024,110
484.437,2.55935,101
484.608,2.55844,116
484.778,2.55755,120
484.948,2.55665,124
485.119,2.55575,130
485.289,2.55485,133
485.459,2.55396,119
485.63,2.55306,116
485.8,2.55217,116
485.97,2.55127,113
486.141,2.55038,108
486.311,2.54948,135
486.481,2.54859,128
486.652,2.5477,129
486.822,2.54681,112
486.992,2.54592,121
487.163,2.54502,107
487.333,2.54414,124
487.503,2.54325,126
487.674,2.54236,127
487.844,2.54147,139
488.014,2.54059,127
488.185,2.5397,124
488.355,2.53881,113
488.525,2.53793,131
488.696,2.53704,113
488.866,2.53616,129
489.036,2.53528,123
489.207,2.53439,142
489.377,2.53351,138
489.547,2.53263,125
489.718,2.53175,117
489.888,2.53087,126
490.058,2.52999,136
490.228,2.52911,124
490.399,2.52823,142
